apogee_id,telescope,field,teff,logg,fe_h
2M14121219+4611075,apo25m,086+66_MGA,4966.616,2.490932,-0.4338
2M14121219+4611075,apo25m,086+66_MGA,4975.534,2.46243,-0.45878
2M09115497+4223443,apo25m,178+44_MGA,5041.788,3.046475,-0.25548
2M18122050-1544117,apo25m,014+02,3896.059,1.320231,0.056345
2M04282056+3623402,apo25m,CA_165-07_btx,4759.349,2.515945,-0.026694
2M20570613+6419033,apo25m,100+12,4113.206,1.186819,-0.66449
2M00072200+7400230,apo25m,120+12,3963.979,0.9625268,-0.553
2M21531722+4703431,apo25m,094-06,4209.859,1.921326,0.12844
2M07310093-1857147,apo25m,235+00,4461.932,1.873817,-0.08784
2M08052700+1857177,apo25m,204+24_MGA,4661.167,2.407459,0.023994
2M08052700+1857177,apo25m,204+24_MGA,4675.161,2.419603,0.037522
2M17053478+3555346,apo25m,059+36_MGA,4741.718,2.751794,-0.041557
2M23494954-2030089,apo25m,060-75,4971.654,2.436288,-0.49417
2M16130012+4824452,apo25m,076+47_MGA,4201.116,1.725232,-0.12089
2M16130012+4824452,apo25m,076+47_MGA,4205.624,1.684289,-0.13
2M06000959+2548004,apo25m,184+00,4090.123,1.324605,-0.22768
2M17134985+5811181,apo25m,087+35_MGA,4522.139,2.248055,-0.085975
2M17134985+5811181,apo25m,087+35_MGA,4511.96,2.295731,-0.1086
2M17134985+5811181,apo25m,087+35_MGA,4526.252,2.306702,-0.10827
2M08544225-2630322,lco25m,251+12,3966.864,0.9717548,-0.49615
2M00420194+3217165,apo25m,120-30,5070.375,2.418752,-0.73569
2M23112250+3351218,apo25m,101-24_btx,4772.329,2.362294,-0.42455
2M05574789+2414383,apo25m,184+00,3885.816,0.8840536,-0.45007
2M09162846-0042298,apo25m,232+30_btx,4574.992,2.393098,-0.29134
2M06315218+0545100,apo25m,HD46375,4711.756,2.484942,0.11412
2M21340214+1258539,apo25m,M15,4368.995,1.82556,-0.39877
2M21340214+1258539,apo25m,M15,4388.671,1.826321,-0.387
2M07034514+5539496,apo25m,160+24_btx,4964.986,2.402737,-0.46129
2M06140648-6020579,lco25m,269-28-O_TESS,4645.468,2.285252,0.040765
2M04495788-6537104,lco25m,278-37-O_TESS,4670.724,2.361686,0.0034695
2M03395361+5343450,apo25m,146+00,4144.588,1.593652,-0.086825
2M06533740+2348260,apo25m,191+12,4463.666,2.274347,-0.059039
2M06522716-0144035,apo25m,214+00,3942.814,0.9417492,-0.4073
2M19234206+3810317,apo25m,K21_071+10,3723.015,0.7374933,-0.20662
2M05150230+3736261,apo25m,169+00,4078.119,1.293569,-0.24772
2M16133601+4035169,apo25m,063+47_MGA,4714.016,2.382187,0.014219
2M10104728+1842544,apo25m,216+53_btx,4777.888,2.456067,-0.43544
2M02203142-0611130,lco25m,173-61,6580.195,4.336121,0.0055664
2M02203142-0611130,lco25m,173-61,6469.622,4.176016,-0.060855
2M07580675+3449423,apo25m,187+28_MGA,4772.593,2.411276,-0.10361
2M07580675+3449423,apo25m,187+28_MGA,4776.783,2.450974,-0.10392
2M13421249-1440067,apo25m,K2_C6_320+47_btx,4048.649,1.633879,0.25527
2M07162078-3908418,lco25m,251-12,4173.839,1.723659,0.15042
2M01183906+1450189,apo25m,131-48_MGA,4614.747,2.517922,-0.079656
2M01183906+1450189,apo25m,131-48_MGA,4612.732,2.518948,-0.071292
2M01183906+1450189,apo25m,131-48_MGA,4604.187,2.510971,-0.082185
2M00412683+5045118,apo25m,120-12,3945.142,1.310799,-0.020813
2M21313541-0107565,apo25m,054-35_MGA,4648.117,2.607358,-0.027913
2M07394646+2213351,apo25m,N2420,3779.057,0.8686002,-0.27649
2M07394646+2213351,apo25m,N2420,3780.117,0.888579,-0.27684
2M06500119+0146581,apo25m,210+00,3813.248,0.785831,-0.37559
2M04490682+5820024,apo25m,150+08,4822.825,2.622659,-0.40269
2M16281776-2249451,apo25m,K2_C2_354+18,4201.077,1.930293,0.17221
2M09420201+3528072,apo25m,191+50_MGA,6180.515,3.940027,-0.14682
2M09420201+3528072,apo25m,191+50_MGA,6152.304,3.987864,-0.17244
2M06165754+3411118,apo25m,180+08,4407.052,2.041656,-0.034697
2M05494017-0019591,apo25m,ORIONB-A,4624.943,2.265461,-0.1088
2M07192560+0156508,apo25m,214+08,3926.43,1.165332,-0.099247
2M08364729+2800441,apo25m,196+35_MGA,4327.837,1.675761,-0.3867
2M02040953+3345305,apo25m,138-26_btx,4661.053,2.368693,-0.18501
2M07161339-1020443,lco25m,225+00,4718.857,2.648,-0.21561
2M05300405-6947038,lco25m,279-32-O,6690.525,4.033097,0.088204
2M05300405-6947038,lco25m,279-32-O,6703.377,4.052651,0.078334
2M05300405-6947038,lco25m,279-32-O,6723.838,4.04061,0.099697
2M00263209+5558277,apo25m,120-06,4246.492,1.45821,-0.43957
2M08135779+5344402,apo25m,165+33_MGA,4177.243,1.790554,0.056123
2M08070176+4953343,apo25m,168+31_MGA,6376.658,3.980595,-0.19117
2M08070176+4953343,apo25m,168+31_MGA,6399.923,4.036533,-0.16918
2M06382599-6954559,lco25m,LMC17,6266.713,3.843241,-0.1685
2M06382599-6954559,lco25m,LMC17,6239.22,3.890769,-0.18901
2M16575215+3333504,apo25m,055+36_MGA,4234.366,1.708536,-0.37794
2M16575215+3333504,apo25m,055+36_MGA,4234.59,1.670253,-0.38502
2M10363533+2444262,apo25m,210+60,6350.541,4.149475,-0.34878
2M03570956-0454054,apo25m,195-42_MGA,4665.764,2.523134,-0.016304
2M08555489+0123005,apo25m,228+29_MGA,4776.088,2.530372,-0.44231
2M08555489+0123005,apo25m,228+29_MGA,4778.039,2.477609,-0.4393
2M22401603+4358467,apo25m,100-12,3811.905,0.756807,-0.5241
2M14130464+4229323,apo25m,080+66_MGA,4845.553,2.371655,-0.43177
2M00585980+5932032,apo25m,124-04,3935.041,1.060978,-0.38727
2M05160229+2507263,apo25m,180-08-RV,4704.419,2.408664,-0.055891
2M05160229+2507263,apo25m,180-08-RV,4712.422,2.451278,-0.067004
2M14043398-1356348,apo25m,K2_C6_327+45_btx,3861.16,0.9935457,-0.6319
2M21452148+4140191,apo25m,090-08,3947.547,1.042283,-0.41357
2M15231729+0654122,apo25m,011+47_btx,6394.866,4.153014,-0.050781
2M05044624-7643378,lco25m,289-33-O_TESS,4671.156,2.372611,0.020286
2M03014395+5901181,apo25m,139+00,3803.156,0.8997759,-0.3046
2M04440924+0521419,apo25m,191-24_btx,4914.736,2.509828,-0.19558
2M17120083+4345093,apo25m,M92,4733.432,2.78619,-0.017685
2M18545671+3011267,apo25m,060+12,3817.012,1.007355,-0.264
2M02371067+1116443,apo25m,160-45,4574.443,2.093143,-0.33902
2M21542926+4042292,apo25m,090-12,4174.652,1.945468,0.17806
2M04571050+3125557,apo25m,TAUL1517_btx,4769.361,2.407922,0.1407
2M19192067+4009090,apo25m,K17_072+13,3832.956,0.9189501,-0.34535
2M02271859-0058164,apo25m,167-55,4999.719,3.144775,-0.26746
2M19145779+5955340,apo25m,CVZ_OB17_btx,4732.963,2.541976,0.094383
2M03330259+4302158,apo25m,Per_M_MGA,3919.043,0.8126235,-0.57434
2M06461106+4604451,apo25m,169+18_btx,4320.61,1.730278,-0.34185
2M05043034-7159150,lco25m,LMC_VdS,5981.774,3.969057,0.10629
2M15094518+3601234,apo25m,060+60,5028.333,3.414124,-0.13912
2M03303676+3027351,apo25m,N1333,5110.63,2.832824,-0.19415
2M02554626+6005183,apo25m,139+00,3727.907,0.7646591,-0.30545
2M02554626+6005183,apo25m,139+00,3727.26,0.7271172,-0.28952
2M19514268+4321073,apo25m,K15_077+10,4114.049,1.375675,-0.20012
2M12012336-1802058,apo25m,286+44,4423.118,1.764392,-0.73992
2M03593976+3629027,apo25m,160-12,4297.432,1.913042,-0.089432
2M12521160+2522245,apo25m,319+88_MGA,6102.051,4.335543,-0.034546
2M15011854+2700245,apo25m,040+60,4318.86,1.509768,-0.64039
2M00561850-2727487,lco25m,N288,4159.929,1.346544,-0.69712
2M10292677+3946084,apo25m,179+57_MGA,6037.79,3.502068,-0.38348
2M08421131+4233567,apo25m,178+36_btx,4755.87,2.61215,-0.13899
2M01480378+1501049,apo25m,142-47_MGA,4250.44,1.536571,-0.72
2M03193658+0217200,apo25m,180-45,4779.817,2.467234,-0.17954
2M16011163+4625084,apo25m,074+49_MGA,4804.121,2.80232,-0.066197
2M07591421+2845545,apo25m,191+26_MGA,4674.749,2.513634,-0.066496
2M07591421+2845545,apo25m,191+26_MGA,4668.933,2.510752,-0.076985
2M07591421+2845545,apo25m,191+26_MGA,4667.042,2.513552,-0.074982
2M03435440+5417028,apo25m,146+00,3663.727,0.8607086,-0.15407
2M09231070+2817019,apo25m,200+45,4834.221,3.023329,-0.083708
2M02432587+0117331,apo25m,173-51_MGA,6445.834,3.942919,-0.0098693
2M02432587+0117331,apo25m,173-51_MGA,6515.405,4.005053,0.025106
2M05533323-5544384,lco25m,263-30-O_TESS,4546.816,2.145046,-0.13429
2M06390422+1110396,apo25m,203+04,4177.884,1.724171,-0.063548
2M19295152-2711575,apo25m,K2_C7_012-21,4134.898,1.469508,-0.1369
2M00292380+0006166,apo25m,110-62_MGA,4602.486,2.570298,0.078113
2M05170337+1503308,apo25m,188-12,3753.273,0.7884715,-0.14053
2M07574284+3120038,apo25m,189+27_MGA,4847.607,2.357156,-0.27479
2M06063598+2201178,apo25m,188+00,4399.538,1.893133,-0.20137
2M17041176+6512305,apo25m,094+35_MGA,4791.597,2.453608,-0.18358
2M17041176+6512305,apo25m,094+35_MGA,4791.961,2.424833,-0.1696
2M21335335-1454368,lco25m,037-43,4689.31,2.40297,-0.09415
2M00144566-1513512,apo25m,090-75,4806.534,2.50362,-0.053567
2M18225527-3852083,lco25m,355-12,4561.734,2.246804,0.091468
2M07384130+2027244,apo25m,N2420,4214.153,1.217387,-0.62915
2M05123708-6337086,lco25m,273-35-O_TESS,4748.509,2.553233,0.17265
2M14510221+3331104,apo25m,055+63_MGA,4377.026,2.161764,-0.14161
2M03440891+5547381,apo25m,146+00,3855.948,1.131213,-0.075223
2M12024371+1554587,apo25m,253+75,4743.481,2.335342,-0.27851
2M18522621-2527069,lco25m,010-12,3940.751,1.081455,-0.75252
2M08074150-5549336,lco25m,270-12,4296.457,1.876304,0.096119
2M01103160-7606194,lco25m,SMC4,6165.904,4.064075,-0.0049913
2M01585367-0207519,apo25m,SgrO2,4511.966,1.925715,-0.78524
2M01585367-0207519,apo25m,SgrO2,4521.59,1.983607,-0.79576
2M05221413+4521125,apo25m,Berkeley_18_btx,3775.831,0.7029903,-0.53137
2M00302570+5131480,apo25m,120-12,4127.619,1.550917,-0.18165
2M02351970+2905188,apo25m,147-28_btx,3927.267,1.244759,-0.037158
2M19364531+6249066,apo25m,CVZ_OB02_btx,4704.278,2.389949,-0.11372
2M05094431+4957008,apo25m,160+06,3938.265,0.931144,-0.51477
2M06365912+0621238,apo25m,206+00,4094.063,1.220581,-0.14084
2M22421681+0424495,apo25m,075-45,4895.211,2.45949,-0.35797
2M16020703+2900349,apo25m,046+48,3941.779,1.089062,-0.63718
2M16020703+2900349,apo25m,046+48,3951.782,1.103784,-0.66629
2M10362703+3536444,apo25m,190+60,4729.426,2.317061,-0.36827
2M13033749+2735307,apo25m,054+87_MGA,4886.543,2.459892,-0.22323
2M13033749+2735307,apo25m,054+87_MGA,4892.106,2.47369,-0.22787
2M13033749+2735307,apo25m,054+87_MGA,4871.647,2.440245,-0.23148
2M13033749+2735307,apo25m,054+87_MGA,4892.217,2.469998,-0.22936
2M13033749+2735307,apo25m,054+87_MGA,4888.511,2.452444,-0.234
2M13033749+2735307,apo25m,054+87_MGA,4880.123,2.464494,-0.23314
2M13033749+2735307,apo25m,054+87_MGA,4879.497,2.443505,-0.2239
2M13033749+2735307,apo25m,054+87_MGA,4877.312,2.474496,-0.23397
2M13033749+2735307,apo25m,054+87_MGA,4892.584,2.466674,-0.23035
2M13033749+2735307,apo25m,054+87_MGA,4881.219,2.491774,-0.2309
2M04180188+2702437,apo25m,TAUL1495,4927.996,2.447901,-0.36918
2M19215132+5055238,apo25m,K01_082+17,4394.065,2.080026,0.032923
2M03351583+4538009,apo25m,150-08-RV,4707.024,2.24137,-0.13475
2M03351583+4538009,apo25m,150-08-RV,4708.692,2.209568,-0.1371
2M05100258+3838490,apo25m,169+00,3956.146,0.9885027,-0.45761
2M00300966+5724290,apo25m,120-04,5002.227,2.670454,-0.022342
2M05161829+2409451,apo25m,180-08-RV,4152.67,1.222657,-0.50956
2M05161829+2409451,apo25m,180-08-RV,4160.361,1.189664,-0.52063
2M06070399-6305327,lco25m,LMC15,6202.46,3.784484,-0.069167
2M19220413+4444309,apo25m,K11_076+13,4946.388,2.791379,0.11826
2M01023444+6225192,apo25m,124+00,3950.094,1.078907,-0.33686
2M04362529+4055170,apo25m,161-04,3975.043,0.9272162,-0.58329
2M05350208+5431142,apo25m,158+12,4732.352,2.618959,-0.035218
2M04221076-7145034,lco25m,LMC22,6292.464,4.377975,-0.014774
2M17512932+4905428,apo25m,075+30,4569.38,2.428977,-0.32879
2M22032310-1109599,lco25m,046-47-O,5011.556,3.206452,-0.37655
2M23222068+5335256,apo25m,109-08,4593.029,2.377647,-0.21526
2M05143091+3707568,apo25m,169+00,4141.722,1.575274,-0.034662
2M02061785+6546568,apo25m,131+04,4384.008,1.734748,-0.29451
2M20015734+6922294,apo25m,CVZ_OB20_btx,4947.032,2.84665,0.16556
2M20015734+6922294,apo25m,CVZ_OB20_btx,4922.596,2.869098,0.14417
2M05123664+3912352,apo25m,169+00,4017.806,1.162641,-0.4426
2M00200757+6856258,apo25m,120+06,3808.546,0.724676,-0.53314
2M16354890+0006572,apo25m,015+30,4525.858,2.403885,0.25906
2M16114810+4136200,apo25m,065+48_MGA,4279.21,1.688909,-0.61844
2M16114810+4136200,apo25m,065+48_MGA,4268.125,1.73372,-0.58489
2M04332339+3618181,apo25m,165-08,4632.714,2.141396,-0.097403
2M03453271+2536397,apo25m,Pleiades,6280.138,3.872545,-0.19008
2M16584950+3932296,apo25m,062+39_MGA,4875.664,2.468952,-0.20854
2M12401198+4138273,apo25m,133+76_MGA,4536.274,2.42677,-0.15552
2M18540963-2940595,lco25m,SGRC-4,4588.844,2.153431,-0.23109
2M02163477+4144148,apo25m,140-18_btx,4368.893,1.924742,-0.053016
2M14554968+5007234,apo25m,086+57_MGA,5866.984,4.047539,0.25349
2M15094124+4543416,apo25m,078+57_MGA,4524.555,2.3643,-0.20661
2M05073744+4141383,apo25m,165+00,4387.568,1.790965,-0.37739
2M07440888+2033243,apo25m,NGC2420_btx,4826.157,2.371148,-0.18503
2M00370160+5041350,apo25m,120-12,4878.43,2.652028,0.0045462
2M11203983+0645310,apo25m,250+60,4618.39,2.579322,-0.25923
2M22470790-0102240,apo25m,070-50_MGA,4375.255,2.296089,0.11752
2M00284490+5407082,apo25m,120-08-RV,4188.133,1.478383,-0.51672
2M00284490+5407082,apo25m,120-08-RV,4187.888,1.34881,-0.49451
2M14534566+4249009,apo25m,071+60_MGA,4507.464,1.185977,-1.5113
2M22325001+1234564,apo25m,079-37_MGA,3847.152,0.7582563,-0.81416
2M15074843+2715011,apo25m,040+60,6296.056,3.930751,-0.25893
2M08163468+3518274,apo25m,186+31_btx,4881.823,2.821723,-0.43019
2M06595713+7459251,apo25m,139+27_btx,4646.739,2.471496,-0.0019219
2M09491963+0036321,apo25m,235+38_MGA,4858.447,2.787624,0.017403
2M09491963+0036321,apo25m,235+38_MGA,4867.582,2.757688,0.0079584
2M05562666+3500541,apo25m,176+04,3912.95,0.9191608,-0.44778
2M19092430+4315023,apo25m,K12_074+15,4778.082,2.445139,-0.12227
2M18293591-1345566,apo25m,018-02,3795.047,1.25959,0.11927
2M11532831+5519142,apo25m,140+60,4854.975,2.954735,-0.26553
2M11532831+5519142,apo25m,140+60,4845.598,3.027766,-0.26966
2M19065989+4932243,apo25m,K02_080+18,4723.295,2.905313,-0.03046
2M08054742+1507528,apo25m,206+23_MGA,4214.372,1.369007,-0.47667
2M10395561+2506080,apo25m,210+60,4609.379,2.168826,-0.40435
2M15063729+3234480,apo25m,051+60_btx,4567.912,2.31943,0.15696
2M15063729+3234480,apo25m,051+60_btx,4572.122,2.358717,0.14808
2M02444966+3957285,apo25m,146-18_btx,4552.561,2.398401,0.033451
2M12140661+0618337,apo25m,279+66,4256.384,1.762324,-0.17764
2M16262800+3452066,apo25m,058+44_MGA,4830.921,2.363522,-0.035707
2M04262408-6553342,lco25m,278-39-O_TESS,3804.909,0.963674,-0.10179
2M04262408-6553342,lco25m,278-39-O_TESS,3802.153,0.981831,-0.11562
2M21073417+2934332,apo25m,075-12,4531.242,2.335732,0.20211
2M08254523+2837055,apo25m,195+32_MGA,4959.961,2.433415,-0.49702
2M20451093-0455363,apo25m,040-27_MGA,3844.589,0.9350207,-0.67079
2M08200301+3214461,apo25m,SGR1,4113.558,1.45507,-0.18813
2M06571552-7342325,lco25m,284-26-O_TESS,4858.562,2.680969,-0.31818
2M06365349+0611261,apo25m,206+00,3960.613,1.247036,-0.017549
2M11560424+5433467,apo25m,140+62_MGA,4530.249,2.405085,0.26488
2M11560424+5433467,apo25m,140+62_MGA,4518.661,2.396477,0.26822
2M11560424+5433467,apo25m,140+62_MGA,4511.786,2.343342,0.29098
2M00291684+5504140,apo25m,120-08,4263.949,1.664677,-0.321
2M00291684+5504140,apo25m,120-08,4267.328,1.716545,-0.32571
2M06135111+2025346,apo25m,191+00,3887.931,1.080158,-0.15434
2M09453758+4411554,apo25m,177+49_MGA,3812.506,0.7661113,-0.61791
2M09453758+4411554,apo25m,177+49_MGA,3810.954,0.7455558,-0.60908
2M06204115-6137467,lco25m,271-26-O,4831.805,2.312975,-0.32842
2M06204115-6137467,lco25m,271-26-O,4838.376,2.326122,-0.33921
2M11114047+4831401,apo25m,157+60_MGA,4746.838,3.129735,0.14237
2M11114047+4831401,apo25m,157+60_MGA,4747.899,3.196392,0.14694
2M11503706+5447593,apo25m,139+61_MGA,4292.043,1.631583,-0.64516
2M11503706+5447593,apo25m,139+61_MGA,4293.95,1.610597,-0.63053
2M11503706+5447593,apo25m,139+61_MGA,4283.194,1.632318,-0.63893
2M19281984+3703353,apo25m,K21_071+10,6215.967,4.026429,0.079804
2M03392967+1428567,apo25m,K2_C4_173-32_btx,4823.316,3.003789,0.032474
2M12125331+1423229,apo25m,270+75,6207.892,4.2656,-0.27018
2M09195750+3402479,apo25m,191+44_MGA,4929.784,3.154642,-0.15121
2M09195750+3402479,apo25m,191+44_MGA,4945.463,3.161979,-0.13873
2M09195750+3402479,apo25m,191+44_MGA,4952.96,3.163566,-0.13105
2M07353721+1708290,apo25m,203+18,4154.359,1.549401,-0.18611
2M22100392-0122565,apo25m,060-45,4673.913,2.659947,-0.35832
2M16341250-2932099,lco25m,350+12,3831.63,0.6803576,-0.92775
2M10335913+0119401,apo25m,247+47_MGA,4953.852,2.607854,-0.31455
2M13432836+4229253,apo25m,092+72_MGA,4773.667,2.434083,-0.10082
2M10413841+5054228,apo25m,160+56_MGA,4373.739,1.872142,-0.48443
2M04481662-6957124,lco25m,281-35-O,4457.032,2.381363,0.29365
2M04481662-6957124,lco25m,281-35-O,4464.064,2.450062,0.28162
2M04481662-6957124,lco25m,281-35-O,4468.102,2.397738,0.28553
2M16022148+2203208,apo25m,039+46_MGA,4676.218,2.195397,-0.33134
2M16022148+2203208,apo25m,039+46_MGA,4681.287,2.209066,-0.33772
2M06393402-6203088,lco25m,271-25-O_TESS,4755.177,2.432926,-0.056465
2M06480281-0347328,apo25m,COROTA2-RV,4770.375,2.792976,0.06888
2M06480281-0347328,apo25m,COROTA2-RV,4746.38,2.678892,0.062404
2M19264153-1320018,lco25m,025-14,3735.644,0.8121461,-0.53968
2M08084985+4605364,apo25m,174+33_MGA,4545.034,2.57323,-0.0022895
2M13353477+4342170,apo25m,100+70_MGA,4305.785,2.060374,0.047325
2M22042103+1554142,apo25m,075-30,4626.269,2.744785,0.25308
2M20211134+5858300,apo25m,094+12,4187.241,1.467803,-0.3643
2M00342987+5424379,apo25m,120-08-RV,4807.001,2.462696,-0.096081
2M00342987+5424379,apo25m,120-08-RV,4827.525,2.45252,-0.093715
2M22150790+4308196,apo25m,094-12,3993.441,1.235379,-0.61378
2M09504230+1744001,apo25m,217+49_MGA,6262.429,4.256977,0.12605
2M04032131-0555267,apo25m,197-39_MGA,4435.999,2.479245,0.29692
2M17054857+3626486,apo25m,059+36_MGA,4593.423,2.394099,-0.43457
2M04462851+0605257,apo25m,191-24_btx,4202.247,1.382535,-0.46323
2M08560533+0445228,apo25m,225+29_MGA,4666.282,2.348826,-0.012369
2M08560533+0445228,apo25m,225+29_MGA,4666.554,2.364812,-0.034679
2M22444861+2419560,apo25m,090-30,6219.308,4.116372,-0.026719
2M08523347+2833273,apo25m,196+37_MGA,5705.971,3.947698,-0.037259
2M17223500-1414019,lco25m,010+12,4573.2,2.160202,-0.11368
2M01234624+6242000,apo25m,128+00,4658.064,2.610582,-0.11239
2M16134916+4831454,apo25m,077+45_MGA,4795.499,2.321037,-0.18873
2M16134916+4831454,apo25m,077+45_MGA,4798.676,2.325847,-0.18349
2M14184140-4811288,lco25m,317+12,3679.299,1.018625,0.10997
2M13053021+2454415,apo25m,357+85_MGA,4872.082,2.453284,-0.39431
2M13053021+2454415,apo25m,357+85_MGA,4882.332,2.538364,-0.37773
2M15090553+0644107,apo25m,009+52_MGA,4800.715,2.419065,-0.23596
2M01153789+5855067,apo25m,128-04,4262.057,1.787105,-0.12973
2M06290855+1156461,apo25m,199+00,4683.958,1.923636,-0.1708
2M19163739-5937441,lco25m,N6752,4385.997,1.990824,-0.16452
2M04000103+2549475,apo25m,K2_C4_168-21_btx,4812.345,2.458004,-0.082
2M04000103+2549475,apo25m,K2_C4_168-21_btx,4820.798,2.46393,-0.093312
2M10441857+0215429,apo25m,246+49_MGA,4188.921,1.526401,-0.18321
2M13424958-1705170,apo25m,320+45,4606.549,2.30874,0.054653
2M21544327+0054396,apo25m,058-39_MGA,4928.388,2.333186,-0.61239
2M13263452-4720054,lco25m,Omegacen,4447.675,0.9152322,-1.7447
2M13432955-0416031,apo25m,K2EB_C06_327+54_btx,6144.896,3.998863,-0.04665
2M21152293-0015174,apo25m,051-31_MGA,4784.73,2.439719,-0.40744
2M18154673+0632080,apo25m,034+12,3939.666,1.083449,-0.4987
2M04445978+3419405,apo25m,169-08,4235.508,1.638615,-0.30544
2M07554374+0559297,apo25m,214+18_btx,4890.718,2.57285,-0.12111
2M09103677+0124337,apo25m,230+32_MGA,4529.856,2.115882,-0.19635
2M05454080+1209491,apo25m,195-08,3817.696,1.019117,-0.15312
2M04190836+4323542,apo25m,158-04,3941.277,0.874536,-0.49563
2M05410455+6734318,apo25m,146+18_btx,4283.489,1.786053,-0.055616
2M06522229-7211377,lco25m,282-25-O_TESS,4967.551,2.832707,0.12576
2M23260417+5953519,apo25m,113+00,4968.82,2.398922,-0.094816
2M04520229+3339477,apo25m,169-08,4521.959,2.298928,0.22044
2M17202936-2405578,apo25m,K2_C11_001+07_btx,4616.412,2.426419,0.16397
2M06510420-0445494,apo25m,COROTA2-RV,4953.917,2.432099,-0.4515
2M06510420-0445494,apo25m,COROTA2-RV,4951.018,2.481055,-0.48057
2M10573130+4858023,apo25m,160+60,4848.995,2.471278,-0.30042
2M10573130+4858023,apo25m,160+60,4845.768,2.423654,-0.29872
2M10573130+4858023,apo25m,160+60,4858.297,2.446209,-0.29351
2M10573130+4858023,apo25m,160+60,4855.515,2.448499,-0.27197
2M04215908+5039480,apo25m,154+00,3806.71,0.7447593,-0.34084
2M16153272-2522091,lco25m,350+18-O,4668.442,2.514737,-0.043412
2M05063867+3323362,apo25m,173-04,4169.18,1.393377,-0.37078
2M05181431+3721375,apo25m,169+00,3892.51,0.8363382,-0.58771
2M04464620+6230445,apo25m,146+12,4201.207,1.507057,-0.30269
2M07151602-1047250,lco25m,225+00,4105.316,1.232657,-0.23315
2M21374384-0718291,apo25m,047-41_MGA,4812.753,2.330441,-0.40889
2M21374384-0718291,apo25m,047-41_MGA,4828.363,2.375419,-0.42355
2M05025540-6218189,lco25m,271-36-O_TESS,4448.121,2.242541,-0.022251
2M08161632-1231120,apo25m,235+12,3990.367,1.316299,-0.18891
2M07465127+2920116,apo25m,191+24_MGA,4387.005,1.947438,-0.10544
2M16511051+4653451,apo25m,N6229,4697.207,2.32441,-0.13915
2M16511051+4653451,apo25m,N6229,4711.827,2.268175,-0.15216
2M10421056+2020260,apo25m,220+60,4444.297,2.452245,0.39267
2M04180724+6748210,apo25m,140+12,4961.215,2.781296,0.13171
2M13541445+4233167,apo25m,089+70,4304.98,1.93698,-0.27241
2M03333685-0010239,apo25m,185-42_MGA,4089.634,1.620482,0.16159
2M03333685-0010239,apo25m,185-42_MGA,4076.87,1.64705,0.16369
2M14214855-0645143,apo25m,N5634SGR2,6152.055,3.888546,-0.060766
2M14214855-0645143,apo25m,N5634SGR2,6110.92,3.735091,-0.054763
2M21342225-0030225,apo25m,054-35_MGA,3756.277,0.8016165,-0.77534
2M19403126+4338157,apo25m,K15_077+10,4069.455,1.818028,0.24933
2M07355988+3955059,apo25m,178+26_MGA,3820.234,0.7061155,-0.58323
2M16454005+2449385,apo25m,044+37_MGA,4807.667,2.55263,-0.083126
2M08185052+3511318,apo25m,186+31_btx,4825.057,2.323953,-0.30325
2M07434326+2812214,apo25m,193+23_MGA,4782.142,2.537167,0.015018
2M07434326+2812214,apo25m,193+23_MGA,4772.426,2.4728,0.016514
2M06030085+2259401,apo25m,188+00,4089.856,1.382463,-0.38693
2M08472549+2447532,apo25m,201+37_MGA,4669.666,2.595668,-0.40015
2M07492012-6403209,lco25m,276-19-O,4488.474,2.233113,0.20536
2M02305217+4655388,apo25m,140-12,4104.407,1.399143,-0.38677
2M07211882-7409023,lco25m,LMC23,3889.274,0.8635067,-0.82593
2M00400638+5121070,apo25m,120-12,4105.168,1.268568,-0.32728
2M14501443+4618350,apo25m,080+60,4820.203,2.409815,-0.3458
2M14501443+4618350,apo25m,080+60,4815.144,2.410883,-0.32889
2M14245809+2836540,apo25m,042+68_btx,6248.768,4.140118,-0.32439
2M06125406+5742382,apo25m,158+18,3622.683,0.4699378,-0.68456
2M09001340+0424264,apo25m,225+30,5023.885,2.466719,-0.50654
2M09001340+0424264,apo25m,225+30,5035.548,2.485393,-0.47357
2M09001340+0424264,apo25m,225+30,5015.318,2.444192,-0.50401
2M05324988-6540579,lco25m,275-33-O_TESS,4203.95,1.428774,-0.49366
2M03370540+6234162,apo25m,140+06,4625.263,2.553126,0.097004
2M06160638+7308028,apo25m,140+24_btx,4380.92,1.744834,-0.34718
2M02053635+3603080,apo25m,140-24_btx,4690.697,2.454133,-0.099569
2M09563377+4358563,apo25m,177+51_MGA,6175.737,4.087001,-0.40014
2M20412203+0028072,apo25m,047-25_MGA,4313.545,1.98151,0.045561
2M13031910+5818173,apo25m,120+60,4651.067,2.363544,-0.34175
2M03311236+6225565,apo25m,140+06,4300.298,1.51513,-0.31657
2M00020100+5640139,apo25m,NGC7789_btx,3773.563,0.7380517,-0.32323
2M12365789-6007195,lco25m,TRUMP20,3878.79,1.165803,-0.03275
2M12182797+1348552,apo25m,270+75,4591.845,2.301148,0.033852
2M09060491+0044380,apo25m,229+31_MGA,3556.208,0.7865684,0.068845
2M05093946+3757007,apo25m,169+00,3849.899,0.7822061,-0.59262
2M02443272-0040416,apo25m,171-52_MGA,4173.877,1.813134,0.032918
2M02443272-0040416,apo25m,171-52_MGA,4187.734,1.778245,0.03403
2M02443272-0040416,apo25m,171-52_MGA,4184.221,1.75993,0.0248
