apogee_id,telescope,field,teff,logg,fe_h
2M01200992+8445276,apo25m,N188,5047.889,2.817592,-0.045644
2M01200992+8445276,apo25m,N188,5035.666,2.783018,-0.053028
2M12234101+2658478,apo25m,221+84,6276.387,4.280438,-0.060459
2M03345975+4517390,apo25m,150-08-RV,3882.775,0.8328053,-0.36957
2M03345975+4517390,apo25m,150-08-RV,3870.279,0.8365287,-0.36363
2M17181861+4206399,apo25m,M92,6252.223,4.086746,0.032981
2M16140911+5004326,apo25m,080+45,6189.506,3.843511,-0.16012
2M16140911+5004326,apo25m,080+45,6214.146,3.877967,-0.14
2M00374552+5438533,apo25m,120-08-RV,4261.811,1.717614,-0.22388
2M00374552+5438533,apo25m,120-08-RV,4262.478,1.713253,-0.23017
2M15103518+3702048,apo25m,060+60,5997.346,3.866207,-0.43189
2M00581221+8435283,apo25m,N188,4442.039,1.579112,-0.48349
2M00581221+8435283,apo25m,N188,4445.986,1.564963,-0.48918
2M00581221+8435283,apo25m,N188,4440.378,1.572088,-0.4997
2M09314232+2645147,apo25m,200+45,6192.019,4.275297,0.17623
2M06414030-5100027,lco25m,CARINA,6436.856,4.204638,-0.21392
2M10540113-0402297,apo25m,ORPHAN-1,6033.235,3.483543,-0.3269
2M06480585-0510434,apo25m,COROTA2-RV,4152.447,1.486363,-0.12014
2M14393397+5100245,apo25m,090+60,6196.988,4.006732,-0.13865
2M00320019+5418483,apo25m,120-08-RV,4087.246,1.262838,-0.27494
2M00320019+5418483,apo25m,120-08-RV,4077.41,1.227581,-0.26742
2M05132147+2407283,apo25m,180-08-RV,3772.694,0.7430226,-0.4135
2M05132147+2407283,apo25m,180-08-RV,3765.953,0.7340487,-0.44221
2M09374837+4800103,apo25m,ORPHAN-5,6087.204,3.912032,-0.024482
2M09372477+5416495,apo25m,160+45,6095.705,3.645121,-0.091612
2M14291253+5710015,apo25m,GD1-5,6662.989,3.970236,-0.19012
2M03363754+4638318,apo25m,150-08-RV,4029.216,0.9992418,-0.53756
2M03363754+4638318,apo25m,150-08-RV,4028.555,1.036401,-0.53249
2M18342025-0040256,apo25m,030+04,6195.864,4.250754,-0.11113
2M19074937+4656118,apo25m,K06_078+16,4597.63,2.208982,-0.68668
2M13404078+1912005,apo25m,000+75,6001.708,4.103316,-0.21398
2M00521315-2106290,lco25m,120-85,6181.267,4.033405,-0.11426
2M13114415+7319205,apo25m,120+45,6211.928,4.204555,0.16164
2M15164526-0003088,apo25m,M5PAL5,5807.017,3.854533,0.071967
2M15164526-0003088,apo25m,M5PAL5,5825.711,3.869074,0.079399
2M06521335-0451194,apo25m,COROTA2-RV,4785.342,2.439057,-0.18199
2M06521335-0451194,apo25m,COROTA2-RV,4782.362,2.371255,-0.19294
2M05130342+2423489,apo25m,180-08-RV,6239.483,4.226036,0.086709
2M05130342+2423489,apo25m,180-08-RV,6385.777,4.399082,0.12639
2M00004334-7228213,lco25m,SMC12,4667.759,2.024328,-0.52521
