filename,fits_file,hip,instrument,url,status
HIP112440_NARVAL_1_R42KNorm.fits.gz,HIP112440_NARVAL_1_R42KNorm.fits,HIP112440,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112440_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP112440_UVES_1_R42KNorm.fits.gz,HIP112440_UVES_1_R42KNorm.fits,HIP112440,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112440_UVES_1_R42KNorm.fits.gz,downloaded
HIP112447_ESPADONS_1_R42KNorm.fits.gz,HIP112447_ESPADONS_1_R42KNorm.fits,HIP112447,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112447_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP112447_NARVAL_1_R42KNorm.fits.gz,HIP112447_NARVAL_1_R42KNorm.fits,HIP112447,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112447_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP112731_ELODIE_1_R42KNorm.fits.gz,HIP112731_ELODIE_1_R42KNorm.fits,HIP112731,ELODIE,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112731_ELODIE_1_R42KNorm.fits.gz,downloaded
HIP112731_HERMES_1_R42KNorm.fits.gz,HIP112731_HERMES_1_R42KNorm.fits,HIP112731,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112731_HERMES_1_R42KNorm.fits.gz,downloaded
HIP112748_NARVAL_1_R42KNorm.fits.gz,HIP112748_NARVAL_1_R42KNorm.fits,HIP112748,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP112748_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP113357_FEROS_1_R42KNorm.fits.gz,HIP113357_FEROS_1_R42KNorm.fits,HIP113357,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP113357_FEROS_1_R42KNorm.fits.gz,downloaded
HIP113357_HARPS_1_R42KNorm.fits.gz,HIP113357_HARPS_1_R42KNorm.fits,HIP113357,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP113357_HARPS_1_R42KNorm.fits.gz,downloaded
HIP113357_NARVAL_1_R42KNorm.fits.gz,HIP113357_NARVAL_1_R42KNorm.fits,HIP113357,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP113357_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP113357_UVES_1_R42KNorm.fits.gz,HIP113357_UVES_1_R42KNorm.fits,HIP113357,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP113357_UVES_1_R42KNorm.fits.gz,downloaded
HIP114622_ESPADONS_1_R42KNorm.fits.gz,HIP114622_ESPADONS_1_R42KNorm.fits,HIP114622,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114622_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP114622_NARVAL_1_R42KNorm.fits.gz,HIP114622_NARVAL_1_R42KNorm.fits,HIP114622,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114622_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP114855_HARPS_1_R42KNorm.fits.gz,HIP114855_HARPS_1_R42KNorm.fits,HIP114855,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114855_HARPS_1_R42KNorm.fits.gz,downloaded
HIP114855_UVES_1_R42KNorm.fits.gz,HIP114855_UVES_1_R42KNorm.fits,HIP114855,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114855_UVES_1_R42KNorm.fits.gz,downloaded
HIP114971_ELODIE_1_R42KNorm.fits.gz,HIP114971_ELODIE_1_R42KNorm.fits,HIP114971,ELODIE,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114971_ELODIE_1_R42KNorm.fits.gz,downloaded
HIP114971_NARVAL_1_R42KNorm.fits.gz,HIP114971_NARVAL_1_R42KNorm.fits,HIP114971,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP114971_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP115227_HARPS_1_R42KNorm.fits.gz,HIP115227_HARPS_1_R42KNorm.fits,HIP115227,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP115227_HARPS_1_R42KNorm.fits.gz,downloaded
