sobject_id,teff,logg,fe_h,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4
160401003901225,5746.5684,4.1350884,-0.166504,105.76401,132.0781,168.33485,139.42032
161213003101176,6202.1914,4.318243,-0.19572341,105.76171,128.65048,146.14212,134.53198
161116002201152,5837.6714,3.8405483,-0.41279915,105.758,141.45901,174.82448,163.19823
170507011101072,6216.0483,3.967531,-0.0665692,105.751236,99.791435,93.53027,65.32908
170415001501377,4896.291,2.565124,-0.11411498,105.750046,154.89609,228.8585,195.01291
160529005901340,4885.3403,2.833527,-0.4803794,105.73403,149.33752,204.83893,187.48845
161008002001221,6123.5767,3.7297165,-0.07547576,105.724655,139.0096,174.5831,155.61058
190225001601095,4993.392,2.9890063,-0.38157853,105.72446,151.57965,206.37326,185.19284
171104003301163,4665.324,2.460526,0.16339448,105.71718,175.4409,238.77676,241.07625
161212005101006,6380.3247,4.01535,-0.09882798,105.71458,127.76452,157.08432,133.44313
170830002801164,6881.1045,3.4916503,0.08337777,105.69513,134.12486,161.07478,147.8385
210731001601288,4151.7275,1.2430893,-0.81947666,105.694595,179.81087,295.64987,257.61014
170416001901371,4550.578,1.9402193,-0.45496953,105.69072,152.14212,230.79404,201.51273
150413005601013,4726.148,2.7833571,0.14790824,105.69017,159.59958,206.61597,203.69034
200905001101390,6439.745,4.198823,0.0591085,105.68974,143.98837,189.58612,119.04287
160811004601079,5115.408,3.2687647,-0.25215662,105.68789,137.49374,183.0034,130.73969
220807001601342,5005.387,2.942213,0.08467236,105.68435,144.9626,218.9089,165.70886
161210003401332,5024.197,3.5260825,0.15960541,105.679375,147.02989,194.49324,171.55261
160418005601085,6207.5547,4.267304,-0.43788058,105.67532,128.34027,129.06107,139.73697
160514001801069,4850.1807,2.493144,-0.14945343,105.6717,142.16661,178.51744,156.54239
190204002901117,5725.8267,4.32438,0.31454477,105.67123,165.19394,229.08353,206.30107
161006004401061,4812.8384,2.925697,-0.17092708,105.667816,152.23836,204.38698,196.67018
161117004001148,6270.5654,4.0563736,-0.1537484,105.667076,110.44301,112.8984,90.127396
160108003601208,6380.644,3.986126,-0.22781292,105.66621,120.00831,143.93108,111.98333
161011004001379,4782.335,2.4798846,-0.06818209,105.64929,145.36528,214.71028,184.77545
170509004701292,4831.6147,2.570009,0.16516177,105.64876,159.08977,219.12575,204.0095
170509003701076,5238.0513,3.6524994,0.056229584,105.64769,143.13156,193.01965,175.53915
230404003601358,6299.1387,4.279871,-0.15115508,105.64407,131.45154,180.43275,127.73994
150428000101173,5007.2754,3.36772,-0.21520814,105.64252,157.06673,199.95502,190.77327
151230002201387,6208.7163,4.2776146,0.09045484,105.63527,120.47036,147.80171,111.88581
170418001601291,4230.9507,1.6001828,-0.3963447,105.633415,170.14482,232.5821,241.42719
170614002101133,4564.1836,2.1619391,0.11836922,105.632866,166.43716,236.31697,246.16266
170615003401360,4678.1426,2.4502466,0.1017454,105.62249,155.05156,220.13765,199.39127
220522002601385,5099.0,2.8903825,0.06801864,105.617645,142.26068,215.96265,167.90479
150427002801371,5242.8926,3.7729893,-0.60858124,105.614334,140.31308,190.46272,174.82378
170114003601324,4611.6675,2.2356431,0.11836648,105.58378,163.94867,252.10316,132.48871
170112002601378,5008.777,3.070262,-0.48052788,105.57454,137.12642,174.336,148.96007
161011003401248,4887.8433,3.2094114,0.036701538,105.57342,151.35938,205.47336,194.6197
161106004101223,4719.594,2.4210403,-0.20289996,105.57237,142.1134,187.88177,169.85503
171001001901043,6395.1987,4.2564793,-0.19220018,105.57009,123.30636,140.68929,112.03091
220807001601210,5047.308,4.5868697,0.08443031,105.56818,142.66025,202.94728,164.15051
160418004101142,6124.641,4.232108,-0.12009805,105.56492,127.01597,139.03738,127.45504
170603007701174,5414.1973,4.5095015,-0.19247663,105.56261,137.07344,162.38605,153.90633
170415001501287,6080.0405,4.2047977,0.12094443,105.56248,131.37978,168.9869,152.59741
171205004101129,4179.6963,1.4607819,-0.51888996,105.55874,238.3799,384.63638,416.29697
210919002101116,5598.3213,4.0189734,0.3764497,105.54624,157.85942,210.05246,176.71329
161211003101316,5969.5684,4.3755527,-0.15206027,105.531555,126.784386,151.73636,125.36745
170829001901145,5274.6284,4.5081253,0.042080678,105.530846,132.59814,153.55246,129.68138
170828001101226,6568.8135,3.636838,-0.34634286,105.5239,123.42026,140.8506,112.55638
210126002701005,4793.1177,2.713413,0.23774984,105.5195,176.20793,247.14374,238.38222
160919005101195,4928.058,4.417792,-0.19344318,105.50908,157.76503,208.81206,206.46017
230805002001176,6472.5464,4.0821767,-0.09199,105.50315,139.48978,211.67636,182.9605
170109003801118,5571.3105,4.318026,0.23617136,105.4977,142.02379,179.41473,167.29916
151219002601261,5725.205,4.3426685,-0.21611023,105.485886,132.2682,170.42346,136.82364
200805002101080,4573.741,2.1881282,0.084973834,105.48539,184.83916,269.79538,267.40927
200927003101029,5951.468,4.187276,-0.49338698,105.481865,141.88765,177.75034,159.63954
